"_id","serviceName","serviceType","imageURL","description","tagLine","servicePageUrl","bookingsFlowEntryUrl","priceSummary","slug","paymentType","partOfPricingPlan","priceAmount","depositAmount","currency","maxSessionCapacity","maxNumberOfParticipantsPerReservation","form","link-services-all","link-services-slug"
"071efcbe-6025-4999-9236-1929a935d089","Flight Evolution","CLASS","wix:image://v1/38f83c_8096883d088446dd928f22a9999d62f4~mv2.jpg/38f83c_8096883d088446dd928f22a9999d62f4~mv2.jpg#originWidth=2250&originHeight=3000","Discover the technology, design, and skills needed to launch various aircraft. Develop and test parachutes, gliders, airplanes, and water rockets. ","Grades K-8","/bookings-checkout/flight-evolution","/bookings-checkout/flight-evolution/book","$30.00","flight-evolution","ONLINE",false,30,0,"USD",15,3,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/flight-evolution"
"079de63a-df3e-4de5-8c09-9430d5d6312d","Stop Motion Animation","COURSE","wix:image://v1/601390c95bdd425b9871ab3d35db66f0.jpg/601390c95bdd425b9871ab3d35db66f0.jpg#originWidth=6016&originHeight=4000","Dive into development, production, and editing of stop motion animation. Create your own story, film, and produce a capstone project with your small group.

Course Dates: Nov 18, Dec 2, 9, & 16
No class on November 25","Grades K-8","/bookings-checkout/stop-motion-animation","/bookings-checkout/stop-motion-animation/book","$120.00","stop-motion-animation","ONLINE",false,120,0,"USD",9,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/stop-motion-animation"
"102916b0-eccd-4bad-a64f-05b34a6c7c60","Kidpreneur","COURSE","wix:image://v1/11062b_8cbf24edcb1143f48bf9dd23c7cf72ed~mv2.jpg/11062b_8cbf24edcb1143f48bf9dd23c7cf72ed~mv2.jpg#originWidth=5472&originHeight=3648","In collaboration with WagiLabs (What a Great Idea) students explore curiosity, compassion, and courage to come up with ideas that “do good” to help people, animals, and the environment. Our Kidpreneurs will learn the skills of identifying problems, brainstorming, creativity, pitching ideas and bringing their ideas to life. 

Join us for this fun and engaging program that develops amazing life skills!","Grades K-6","/bookings-checkout/kidpreneur-2","/bookings-checkout/kidpreneur-2/book","$240.00","kidpreneur-2","ONLINE",false,240,0,"USD",9,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/kidpreneur-2"
"10960582-c3a0-4fcd-a34e-4885d4559bb9","Tech Lab","COURSE","wix:image://v1/38f83c_f40200f5af99486bb4a95826e4cd9161~mv2.jpg/38f83c_f40200f5af99486bb4a95826e4cd9161~mv2.jpg#originWidth=150&originHeight=200","Get hands-on while exploring careers in STEAM, including engineering, electronics, coding, robotics, and computer science. Use evidence, creativity, and design thinking to solve challenges and discover what motivates you!","Grades K-6","/bookings-checkout/tech-lab-2","/bookings-checkout/tech-lab-2/book","$480.00","tech-lab-2","ONLINE",false,480,0,"USD",9,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/tech-lab-2"
"11ae098f-898d-4e22-8477-a74d434d4f38","STEAM Day Camp","CLASS","wix:image://v1/38f83c_58976ff972e141dd8f8e471e5beb9efa~mv2.jpg/38f83c_58976ff972e141dd8f8e471e5beb9efa~mv2.jpg#originWidth=1125&originHeight=1500","Teachers are preparing to return to school, so make the most of your asynchronous days! Join us for full day programming designed to keep your student engaged and learning! 

Hours: 8:30A-5:00P

How to prepare: Students should bring two snacks, a water bottle, and lunch. Masks are required when not socially distanced. 
","We have you covered on asynchronous learning days!","/bookings-checkout/steam-day-camp","/bookings-checkout/steam-day-camp/book","$75.00","steam-day-camp","ONLINE_AND_OFFLINE",false,75,0,"USD",10,2,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/steam-day-camp"
"13d88e79-17a6-4844-aad4-9914803c120b","April 12-16, 2021","COURSE","wix:image://v1/11062b_b21ecc92aeb4489fb0f79c1951247aca~mv2.jpg/11062b_b21ecc92aeb4489fb0f79c1951247aca~mv2.jpg#originWidth=7952&originHeight=5304","Three options to choose from: 
1. Full Day - Virtual Learning & After School Enrichment: $365 a week
2. Half Day (4 hours) - Virtual Learning: $280 a week 
3. Half Day (2 hours) - After School Enrichment Only: $150 a week

Take part in your school's virtual learning with support from our STEAM Educators. After the school day, get hands on with activities developed to spark curiosity, encourage learning, and create fun!

STEAM Enrichment includes homework assistance, science experiments, art and making activities, long-term projects to enrich virtual curricula, and more.

Students will enjoy fun social, physical and educational activities. Based on availability, opt in to one of our specialized after school programs. Space is limited and will be confirmed on a first come basis. 

Student is automatically enrolled in subsequent weeks unless STEAM receives cancellation. Tuition will be billed weekly and must be paid prior to participation. 

Use the Register for STEAM link in the website header to register.","Select Full Day or Virtual Only or After School Only","/bookings-checkout/april-12-16-2021","/bookings-checkout/april-12-16-2021/book","Prices Vary","april-12-16-2021","FREE",false,0,0,,18,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/april-12-16-2021"
"1ae43691-875c-43cc-852a-0548cece87f8","Holiday Gift Workshop","CLASS","wix:image://v1/38f83c_9d4048b79d454855ad236911b5f2c62d~mv2.jpg/38f83c_9d4048b79d454855ad236911b5f2c62d~mv2.jpg#originWidth=1440&originHeight=1440","Let us help create handmade gifts and cards for friends and family. Each week is a different project that students can take pride in sharing!

Course Dates: Nov 17, Dec 1, 8, & 15
No class on November 24","Grades K-6","/bookings-checkout/holiday-gift-workshop-1","/bookings-checkout/holiday-gift-workshop-1/book","$60.00","holiday-gift-workshop-1","ONLINE",false,60,0,"USD",12,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/holiday-gift-workshop-1"
"224a616f-4d00-4448-ac9c-92b15db3988e","Winter Break Camp - December 21","CLASS","wix:image://v1/38f83c_4ee238edb5f748f4a6ed105d3aa67a1e~mv2.png/38f83c_4ee238edb5f748f4a6ed105d3aa67a1e~mv2.png#originWidth=1124&originHeight=1500","Looking for something fun, engaging, and out of the house during your winter break? Join us for full day programming designed to keep your student engaged and learning! 

Hours: 8:30A-5:00P

How to prepare: Students should bring two snacks, a water bottle, and lunch. Masks are required when not socially distanced. 
","Spice up your winter break with STEAM day camps!","/bookings-checkout/winter-break-camp-december-21","/bookings-checkout/winter-break-camp-december-21/book","$75.00","winter-break-camp-december-21","ONLINE",false,75,0,"USD",20,2,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""a2210730-cbb5-4034-a655-95b7bc43905f"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""2d4b1842-823e-4d63-90b7-c6b71b6f7e6d"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""226a82e6-604c-48ee-b6d3-ca6c43c66bf6"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/winter-break-camp-december-21"
"24eb3c47-ccdf-4b55-a9f1-ebf5e2fb47bc","School's Out Camp - March 5","CLASS","wix:image://v1/38f83c_4543b5d1f35240a6b672dbf4a759d84d~mv2.png/38f83c_4543b5d1f35240a6b672dbf4a759d84d~mv2.png#originWidth=1124&originHeight=1500","School might be closed, but STEAM is open! Join us for full day programming designed to keep your student engaged and learning! 

Hours: 8:30A-5:00P

How to prepare: Students should bring two snacks, a water bottle, and lunch. Masks are required when not socially distanced. 
","No school, no problem! Join us for a fun, safe day filled with STEAM","/bookings-checkout/school-s-out-camp-march-5","/bookings-checkout/school-s-out-camp-march-5/book","$75.00","school-s-out-camp-march-5","ONLINE_AND_OFFLINE",false,75,0,"USD",10,2,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/school-s-out-camp-march-5"
"288f3fc6-e62b-45d4-808e-ed247c97ea68","SciArt","COURSE","wix:image://v1/38f83c_0b18047ca5624b88a567a9153acd2f7b~mv2.jpg/38f83c_0b18047ca5624b88a567a9153acd2f7b~mv2.jpg#originWidth=1026&originHeight=1016","Explore the junction of science, technology, and art! Students will leverage the knowledge of science while exploring various forms of creative expression to demonstrate an understanding of the physical world. ","Grades K-5","/bookings-checkout/sciart-1","/bookings-checkout/sciart-1/book","$240.00","sciart-1","ONLINE",false,240,0,"USD",10,1,"{""fields"":[{""_id"":""00000000-0000-0000-0000-000000000002"",""type"":""email"",""label"":""Parent Email"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000003"",""type"":""tel"",""label"":""Parent Phone Number"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000001"",""type"":""text"",""label"":""Parent Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""00000000-0000-0000-0000-000000000008"",""type"":""text"",""label"":""Student 1 Full Name"",""link"":null,""constraints"":{""required"":true}},{""_id"":""6c90f190-ce5b-4294-9588-e4f63c373f70"",""type"":""text"",""label"":""Student 2 Full Name"",""link"":null,""constraints"":{""required"":false}},{""_id"":""5c4090ed-5a4d-4682-9483-dea809ef7c6c"",""type"":""text"",""label"":""Student 1 Grade"",""link"":null,""constraints"":{""required"":true}},{""_id"":""5ecb61cd-8024-402e-a150-a05dc6a65227"",""type"":""text"",""label"":""Student 2 Grade"",""link"":null,""constraints"":{""required"":false}},{""_id"":""3bc0bde5-2d60-491d-b311-a67ad690b039"",""type"":""text"",""label"":""Student 1 Age"",""link"":null,""constraints"":{""required"":true}},{""_id"":""cfeb3981-c6db-4712-bb50-116af11d1191"",""type"":""text"",""label"":""Student 2 Age"",""link"":null,""constraints"":{""required"":false}},{""_id"":""e7239d21-388a-4a64-8d5a-e620775cce74"",""type"":""text"",""label"":""Current School"",""link"":null,""constraints"":{""required"":false}},{""_id"":""84e4ae3f-1b3d-4785-b087-d872dbf3c293"",""type"":""checkbox"",""label"":""I certify that I am the legal guardian of this participant and I am allowing him/her to participate in the STEAM Discovery Academy."",""link"":null,""constraints"":{""required"":true}},{""_id"":""00bf7cf6-d237-4167-96a3-bf8cd3f717fc"",""type"":""checkbox"",""label"":""I agree to the Terms & Conditions"",""link"":{""url"":""https://www.steamda.com/cancellationT&Cs"",""text"":""View Terms""},""constraints"":{""required"":true}}]}","/services/","/services/sciart-1"
